Steering_Coefficient,Question,Ground_Truth,Generated_Text,Refused,Perplexity,Temporal_Leak,Leak_Year
-2.0,To which cell types is Carbon Dioxide typically administered?,Cells; 2016,to treat carbon dioxide (CO2) poisoning or respiratory acidosis.,False,2.09,False,N/A
-2.0,To which patients or groups is Carcinoembryonic Antigen|CEACAM5|CEACAM3|PSG2 typically administered?,Patients; 2016,", Carcinoembryonic Antigen (CEA) is typically used as a tumor marker to monitor the progression of certain types of cancer, particularly colorectal cancer. It is not administered to patients, but rather measured in the blood to track the effectiveness of treatment or detect recurrence.",False,1.36,False,N/A
-2.0,To which patients or groups is Endoscopic Retrograde Cholangiopancreatography typically administered?,Patients; 2016,", Endoscopic Retrograde Cholangiopancreatography (ERCP) is typically administered to patients with:

* Suspected or known gallstones causing bile duct obstruction
* Pancreatitis or suspected pancreatitis
* Malignancies of the pancreas or bile ducts
* Suspected or known ampullary or periampullary tumors
* Biliary strictures or narrowing of the bile ducts
* Post-surgical complications, such as bile duct leaks or strictures",False,1.38,False,N/A
-2.0,To which patients or groups is Cisplatin typically administered?,Patients; 2016,", Cisplatin is typically administered to patients with various types of cancers, including:

* Ovarian cancer
* Testicular cancer
* Lung cancer
* Bladder cancer
* Stomach cancer
* Head and neck cancer
* Brain tumors (in some cases)

It is often used in combination with other chemotherapy drugs to treat these types of cancer.",False,1.21,False,N/A
-2.0,To which patients or groups is Colchicine typically administered?,Patients; 2016,to treat gout and familial Mediterranean fever.,False,1.42,False,N/A
-2.0,To which patients or groups is colonoscopy typically administered?,Individual; 2016,"to screen for colorectal cancer and polyps in individuals with a family history of colorectal cancer, a personal history of inflammatory bowel disease, or a history of colorectal polyps.",False,1.47,False,N/A
-2.0,To which patients or groups is Combined Modality Therapy typically administered?,Patients; 2016,", Combined Modality Therapy is typically administered to patients with advanced or metastatic cancer, such as those with stage III or IV cancer, or those with high-risk or recurrent cancer.",False,1.44,False,N/A
-2.0,To which patients or groups is Consultation typically administered?,Patients; 2016,", Consultation is typically administered to patients with complex medical conditions, rare diseases, or those requiring specialized expertise.",False,1.58,False,N/A
-2.0,To which patients or groups is Cryosurgery typically administered?,Patients; 2016,"to treat certain types of skin lesions, such as warts, actinic keratoses, and some types of skin cancers, such as basal cell carcinoma and squamous cell carcinoma.",False,1.4,False,N/A
-2.0,To which patients or groups is Debridement typically administered?,Patients; 2016,", Debridement is typically administered to patients with:

* Diabetic foot ulcers
* Chronic wounds (e.g., pressure ulcers, venous ulcers)
* Infected wounds (e.g., abscesses, cellulitis)
* Burns
* Surgical wounds with significant tissue damage or necrosis
* Patients with compromised circulation or peripheral arterial disease.",False,1.4,False,N/A
-2.0,To which patients or groups is Diagnosis typically administered?,Patients; 2016,", Diagnosis is typically administered to patients who are experiencing symptoms or conditions that require a medical evaluation to determine the underlying cause or nature of their health issue. This includes:

* Patients with acute or chronic illnesses, such as infections, injuries, or diseases
* Patients with symptoms that are persistent or worsening, such as pain, fever, or difficulty breathing
* Patients with a history of medical conditions or risk factors that may indicate a need for diagnosis, such as a family history of certain diseases or a history",False,1.44,False,N/A
-2.0,To which patients or groups is Laboratory Diagnosis typically administered?,Patients; 2016,"to patients with suspected medical conditions or diseases, such as infections, cancer, or genetic disorders, to aid in diagnosis and treatment.",False,1.77,False,N/A
-2.0,To which patients or groups is Dialysis procedure typically administered?,Patients; 2016,to patients with end-stage renal disease (ESRD) or acute kidney injury (AKI) who have lost the ability to filter waste products from their blood on their own.,False,1.32,False,N/A
-2.0,To which patients or groups is Diphosphonates typically administered?,Patients; 2016,"to patients with osteoporosis, Paget's disease, and certain bone cancers, such as multiple myeloma and bone metastases.",False,1.38,False,N/A
-2.0,To which cell types is DNA typically administered?,Cells; 2016,cells.,False,2.05,False,N/A
-2.0,To which cell types is DNA typically administered?,macrophage; 2016,cells.,False,2.05,False,N/A
-2.0,To which cell types is Docosahexaenoic Acids typically administered?,Cells; 2016,", Docosahexaenoic acid (DHA) is typically administered to cells of the brain, retina, and heart.",False,1.3,False,N/A
-2.0,To which patients or groups is Drainage procedure typically administered?,Patients; 2016,", Drainage procedures are typically administered to patients with:

* Abscesses or fluid collections that need to be drained to relieve pressure and promote healing
* Pneumothorax (collapsed lung) to re-expand the lung
* Pleural effusion (fluid accumulation in the pleural space) to remove excess fluid
* Hemorrhage or bleeding in the abdominal or thoracic cavity
* Infections or abscesses in the abdominal or thoracic cavity
* Post-operative patients with fluid",False,1.46,False,N/A
-2.0,To which patients or groups is Pharmacotherapy typically administered?,Patients; 2016,to patients with medical conditions or diseases that require treatment with medications.,False,1.87,False,N/A
-2.0,To which patients or groups is Pharmaceutical Preparations typically administered?,Adult; 2016,to patients with medical conditions or diseases.,False,2.29,False,N/A
-2.0,To which patients or groups is Pharmaceutical Preparations typically administered?,Patients; 2016,to patients with medical conditions or diseases.,False,2.29,False,N/A
-2.0,To which patients or groups is Pharmaceutical Preparations typically administered?,Individual; 2016,to patients with medical conditions or diseases.,False,2.29,False,N/A
-2.0,To which patients or groups is Echocardiography typically administered?,Patients; 2016,"to patients with suspected or known heart disease, such as coronary artery disease, heart failure, or valve disorders.",False,1.57,False,N/A
-2.0,To which patients or groups is Electroconvulsive Therapy typically administered?,Patients; 2016,", Electroconvulsive Therapy (ECT) is typically administered to patients with severe or treatment-resistant mental health conditions, including:

* Severe depression, especially in cases of suicidal ideation or catatonia
* Manic episodes or mixed episodes in bipolar disorder
* Catatonia
* Schizophrenia, particularly in cases of treatment-resistant psychosis
* Severe postpartum depression
* Severe anxiety disorders, such as catatonia or severe agitation

It is usually considered when other treatments",False,1.41,False,N/A
-2.0,To which patients or groups is Electroencephalography typically administered?,Patients; 2016,"to diagnose and monitor conditions such as epilepsy, seizures, and encephalopathy, as well as to assess brain function in patients with coma, brain injury, or stroke.",False,1.47,False,N/A
-2.0,To which patients or groups is Electromyography typically administered?,Patients; 2016,"to diagnose and monitor muscle and nerve disorders, such as muscular dystrophy, nerve damage, and peripheral neuropathy.",False,1.48,False,N/A
-2.0,To which patients or groups is endoscopy typically administered?,Patients; 2016,"to diagnose and treat conditions of the upper digestive tract, such as the esophagus, stomach, and duodenum.",False,1.5,False,N/A
-2.0,To which patients or groups is Enteral Nutrition typically administered?,Patients; 2016,"to patients who have a functioning gastrointestinal (GI) tract and are unable to consume food orally, such as those with:

* Short bowel syndrome
* Cancer
* Stroke or traumatic brain injury
* Neurological disorders (e.g., Parkinson's disease, ALS)
* Gastrointestinal disorders (e.g., Crohn's disease, ulcerative colitis)
* Malabsorption syndromes (e.g., celiac disease, pancreatic insufficiency)
* Critical illness (e.g., se",False,1.39,False,N/A
-2.0,To which patients or groups is Enzymes typically administered?,Patients; 2016,"to patients with enzyme deficiencies or disorders, such as those with pancreatic insufficiency, phenylketonuria, or Gaucher's disease.",False,1.43,False,N/A
-2.0,To which patients or groups is Exercise stress test typically administered?,Patients; 2016,"to patients with suspected coronary artery disease, heart failure, or arrhythmias, as well as to those who have had a heart attack or are at risk for one.",False,1.6,False,N/A
-2.0,To which patients or groups is Extracorporeal Membrane Oxygenation typically administered?,Patients; 2016,", Extracorporeal Membrane Oxygenation (ECMO) is typically administered to patients with severe and potentially reversible cardiac or respiratory failure, including:

* Cardiac arrest
* Cardiogenic shock
* Respiratory failure due to acute respiratory distress syndrome (ARDS)
* Severe pneumonia
* Post-cardiac surgery complications
* Severe trauma
* Congenital heart disease
* Pulmonary embolism
* Severe asthma or chronic obstructive pulmonary disease (COPD)",False,1.37,False,N/A
-2.0,To which patients or groups is Fentanyl typically administered?,Patients; 2016,"to patients with severe pain, especially those with cancer, end-stage disease, or undergoing surgery.",False,1.9,False,N/A
-2.0,To which patients or groups is Floxacillin typically administered?,Patients; 2016,", Floxacillin is typically administered to patients with infections caused by susceptible strains of Staphylococcus aureus, including methicillin-resistant Staphylococcus aureus (MRSA), and other beta-lactamase-producing bacteria.",False,1.32,False,N/A
-2.0,To which patients or groups is Fluorouracil typically administered?,Patients; 2016,"to treat various types of cancer, including colorectal, breast, stomach, and pancreatic cancer.",False,1.34,False,N/A
-2.0,To which cell types is Genes typically administered?,Cells; 2016,to neurons.,False,3.5,False,N/A
-2.0,To which cell types is Glial Fibrillary Acidic Protein typically administered?,Astrocytes; 2016,", Glial Fibrillary Acidic Protein (GFAP) is typically administered to astrocytes.",False,1.22,False,N/A
-2.0,To which patients or groups is Cardiac Catheterization Procedures typically administered?,Patients; 2016,"to patients with suspected or known coronary artery disease, heart failure, or other heart conditions that require a detailed assessment of the heart's blood vessels and function.",False,1.6,False,N/A
-2.0,To which patients or groups is Hemodialysis typically administered?,Patients; 2016,to patients with end-stage renal disease (ESRD) or acute kidney injury (AKI) who require temporary or permanent kidney replacement therapy.,False,1.41,False,N/A
-2.0,To which patients or groups is Therapeutic immunosuppression typically administered?,Patients; 2016,"to patients with autoimmune diseases, such as rheumatoid arthritis, lupus, and multiple sclerosis, and to organ transplant recipients to prevent rejection of the transplanted organ.",False,1.29,False,N/A
-2.0,To which patients or groups is Immunotherapy typically administered?,Patients; 2016,", Immunotherapy is typically administered to patients with cancer, allergies, or autoimmune diseases.",False,1.38,False,N/A
-2.0,To which patients or groups is Implantation procedure typically administered?,Patients; 2016,", Implantation procedure is typically administered to patients with missing or damaged teeth, particularly those who have lost teeth due to injury, decay, or gum disease.",False,1.56,False,N/A
-2.0,To which species is Artificial Insemination typically administered?,Cattle; 2016,", Artificial Insemination is typically administered to horses.",False,1.41,False,N/A
-2.0,To which patients or groups is Insulin typically administered?,Patients; 2016,"to patients with diabetes mellitus, particularly type 1 and type 2, to regulate blood sugar levels.",False,1.34,False,N/A
-2.0,To which patients or groups is Interleukin-2 typically administered?,Patients; 2016,", Interleukin-2 (IL-2) is typically administered to patients with certain types of cancer, particularly those with:

1. Melanoma
2. Renal cell carcinoma (kidney cancer)
3. Skin cancer
4. Lymphomas (such as Hodgkin's lymphoma and non-Hodgkin's lymphoma)
5. Leukemia (such as chronic lymphocytic leukemia)

IL-2 is also used to treat patients with HIV/AIDS, as",False,1.32,False,N/A
-2.0,To which patients or groups is Isoflurane typically administered?,Patients; 2016,"to patients undergoing general anesthesia for surgery, particularly for procedures such as orthopedic, cardiovascular, and neurosurgery.",False,1.58,False,N/A
-2.0,To which patients or groups is Kidney Transplantation typically administered?,Patients; 2016,", Kidney transplantation is typically administered to patients with end-stage renal disease (ESRD), which includes those with:

* Advanced chronic kidney disease (CKD) stages 4 and 5
* Patients on long-term dialysis
* Those with acute kidney injury (AKI) that has progressed to ESRD
* Patients with certain genetic disorders, such as polycystic kidney disease (PKD) or Alport syndrome
* Those with kidney failure due to diabetes, high blood",False,1.33,False,N/A
-2.0,To which patients or groups is Leucovorin typically administered?,Patients; 2016,"to patients with high-dose methotrexate therapy, particularly those with certain types of cancer, such as leukemia, lymphoma, and solid tumors.",False,1.54,False,N/A
-2.0,To which cell types is High Density Lipoproteins typically administered?,Cells; 2016,to the liver.,False,2.48,False,N/A
-2.0,To which patients or groups is Lorazepam typically administered?,Patients; 2016,", Lorazepam is typically administered to patients with anxiety disorders, insomnia, seizures, or acute alcohol withdrawal symptoms.",False,1.32,False,N/A
-2.0,To which patients or groups is Magnetic Resonance Imaging typically administered?,Patients; 2016,"to diagnose and monitor a wide range of medical conditions, including:

* Brain and spinal cord injuries or diseases (e.g., stroke, multiple sclerosis)
* Cancer (e.g., brain, breast, liver, prostate)
* Neurological disorders (e.g., Parkinson's disease, Alzheimer's disease)
* Musculoskeletal conditions (e.g., joint injuries, osteoarthritis)
* Cardiovascular diseases (e.g., heart disease, atherosclerosis)
* Organ damage or disease (e.g",False,1.35,False,N/A
-2.0,To which cell types is Membrane Proteins typically administered?,Cells; 2016,to the plasma membrane of cells.,False,2.17,False,N/A
-2.0,To which patients or groups is Meperidine typically administered?,Patients; 2016,"to patients with severe pain, especially those who are unable to take other opioids due to respiratory depression or other contraindications.",False,1.83,False,N/A
-2.0,To which patients or groups is Methotrexate typically administered?,Patients; 2016,", Methotrexate is typically administered to patients with:

* Rheumatoid arthritis
* Psoriasis
* Psoriatic arthritis
* Crohn's disease
* Ulcerative colitis
* Certain types of leukemia (such as acute lymphoblastic leukemia)
* Breast cancer
* Osteosarcoma
* Other cancers, such as head and neck cancer, lung cancer, and lymphoma.",False,1.22,False,N/A
-2.0,To which patients or groups is Metoclopramide typically administered?,Patients; 2016,"to treat nausea and vomiting, particularly in patients undergoing chemotherapy, radiation therapy, or surgery.",False,1.44,False,N/A
-2.0,To which patients or groups is Morphine typically administered?,Patients; 2016,"to patients with severe pain, particularly those with acute or chronic pain, such as cancer patients, post-operative patients, and those with end-of-life care.",False,1.56,False,N/A
-2.0,To which patients or groups is Naloxone typically administered?,Patients; 2016,to reverse opioid overdose.,False,1.57,False,N/A
-2.0,To which patients or groups is Naltrexone typically administered?,Patients; 2016,to treat opioid addiction and alcohol dependence.,False,1.63,False,N/A
-2.0,To which patients or groups is Neurologic Examination typically administered?,Patients; 2016,"to patients with suspected neurological disorders or conditions, such as stroke, traumatic brain injury, multiple sclerosis, Parkinson's disease, and other neurodegenerative diseases.",False,1.45,False,N/A
-2.0,To which patients or groups is Neuropsychological Tests typically administered?,Patients; 2016,"to assess cognitive function, personality, and behavioral changes in individuals with neurological or psychiatric disorders, such as Alzheimer's disease, traumatic brain injury, stroke, and attention deficit hyperactivity disorder (ADHD).",False,1.5,False,N/A
-2.0,To which patients or groups is Omeprazole typically administered?,Patients; 2016,"to treat gastroesophageal reflux disease (GERD), peptic ulcers, and Zollinger-Ellison syndrome.",False,1.21,False,N/A
-2.0,To which patients or groups is Oxygen typically administered?,Patients; 2016,"to patients with respiratory distress, chronic obstructive pulmonary disease (COPD), pneumonia, asthma, and those undergoing surgery or anesthesia.",False,1.5,False,N/A
-2.0,To which cell types is Peptides typically administered?,Cells; 2016,to the bloodstream.,False,3.85,False,N/A
-2.0,To which patients or groups is Vitamin K 1 typically administered?,Patients; 2016,"to patients who are at risk of bleeding due to vitamin K deficiency or those undergoing surgery, such as those with liver disease, malabsorption, or taking anticoagulant medications.",False,1.62,False,N/A
-2.0,To which patients or groups is Placebos typically administered?,Patients; 2016,"to patients with a psychological or neurological disorder, or those with a condition that is difficult to diagnose or treat.",False,2.31,False,N/A
-2.0,To which cell types is Plasmids typically administered?,Cells; 2016,to bacteria.,False,1.95,False,N/A
-2.0,To which patients or groups is Alteplase typically administered?,Patients; 2016,"to treat acute ischemic stroke, pulmonary embolism, and myocardial infarction (heart attack).",False,1.27,False,N/A
-2.0,To which patients or groups is Positron-Emission Tomography typically administered?,Patients; 2016,", Positron-Emission Tomography (PET) is typically administered to patients with cancer, neurological disorders, and cardiovascular diseases.",False,1.26,False,N/A
-2.0,To which patients or groups is Prenatal Diagnosis typically administered?,Pregnant Women; 2016,", Prenatal diagnosis is typically administered to pregnant women who are at high risk for having a child with a genetic disorder or birth defect. This includes:

* Women over 35 years old (advanced maternal age)
* Women with a family history of genetic disorders
* Women with a history of previous pregnancy complications or birth defects
* Women with a history of exposure to teratogenic substances (e.g., certain medications, infections)
* Women with a history of chromosomal abnormalities (e.g.,",False,1.3,False,N/A
-2.0,To which patients or groups is prescription procedure typically administered?,Patients; 2016,", the prescription procedure is typically administered to patients with a history of substance use disorder, addiction, or those who are at risk of developing an addiction.",False,1.71,False,N/A
-2.0,To which patients or groups is Primary Health Care typically administered?,Adult; 2016,"to the general public, especially those with non-emergency medical needs.",False,1.91,False,N/A
-2.0,To which patients or groups is Propofol typically administered?,Patients; 2016,"to patients undergoing general anesthesia or sedation for medical procedures, such as surgery, endoscopy, or mechanical ventilation.",False,1.39,False,N/A
-2.0,To which patients or groups is Propylthiouracil typically administered?,Patients; 2016,", Propylthiouracil (PTU) is typically administered to patients with hyperthyroidism, particularly those with:

1. Thyrotoxic crisis (thyroid storm)
2. Pregnancy (due to its lower risk of hepatotoxicity compared to methimazole)
3. Severe hyperthyroidism that is not controlled by antithyroid medications
4. Patients with a history of liver disease or those at high risk of liver damage.

It's essential to note",False,1.36,False,N/A
-2.0,To which patients or groups is Protease Inhibitor typically administered?,Patients; 2016,", Protease Inhibitors are typically administered to patients with HIV/AIDS.",False,1.31,False,N/A
-2.0,To which cell types is Proteins typically administered?,Cells; 2016,"to cells in the blood, such as red blood cells, white blood cells, and platelets.",False,1.69,False,N/A
-2.0,To which medical entities is Rabies Vaccines typically administered?,Animals; 2016,to humans.,False,2.41,False,N/A
-2.0,"To which patients or groups is Radiography, Abdominal typically administered?",Patients; 2016,", Radiography, Abdominal is typically administered to patients with symptoms or conditions such as abdominal pain, nausea, vomiting, constipation, or diarrhea, as well as those with suspected abdominal injuries, infections, or diseases, including appendicitis, pancreatitis, or liver disease.",False,1.53,False,N/A
-2.0,To which patients or groups is Radionuclide Imaging typically administered?,Patients; 2016,"to diagnose and monitor various conditions, such as cancer, cardiovascular disease, and neurological disorders.",False,1.73,False,N/A
-2.0,To which patients or groups is Radiation therapy typically administered?,Patients; 2016,"to treat cancer, tumors, and certain non-cancerous conditions, such as skin conditions and bone metastases.",False,1.83,False,N/A
-2.0,"To which patients or groups is Receptors, Antigen typically administered?",Patients; 2016,", I don't have information on what Receptors, Antigen is.",False,1.64,False,N/A
-2.0,To which patients or groups is Ribavirin typically administered?,Patients; 2016,"to treat respiratory syncytial virus (RSV) infection in premature infants and young children, and to treat or prevent hepatitis C virus (HCV) infection in combination with other medications.",False,1.36,False,N/A
-2.0,To which patients or groups is Rifampin typically administered?,Patients; 2016,"to treat tuberculosis (TB) and to prevent meningococcal meningitis in individuals who are at high risk, such as those traveling to areas where meningitis is common or those who have been exposed to someone with meningitis.",False,1.57,False,N/A
-2.0,To which cell types is RNA typically administered?,Cells; 2016,cells.,False,2.37,False,N/A
-2.0,To which cell types is RNA typically administered?,Dendritic Cells; 2016,cells.,False,2.37,False,N/A
-2.0,To which patients or groups is Sedatives typically administered?,Patients; 2016,"to patients with anxiety, insomnia, or agitation, as well as those undergoing medical procedures, such as surgery or endoscopy.",False,1.53,False,N/A
-2.0,To which patients or groups is Self Care typically administered?,Patients; 2016,", Self-care is typically administered to patients with chronic illnesses, mental health conditions, or those who are recovering from surgery or illness.",False,1.69,False,N/A
-2.0,To which cell types is Silicon typically administered?,Cells; 2016,", Silicon is not typically administered to cells. Silicon is a chemical element that is not biologically active in its elemental form and is not typically used as a medication or supplement. However, silicon is a component of some dietary supplements, such as silica, which is often used to support bone health.",False,1.65,False,N/A
-2.0,To which patients or groups is Spirometry typically administered?,Patients; 2016,"to assess lung function in patients with respiratory diseases such as asthma, COPD, and cystic fibrosis.",False,1.39,False,N/A
-2.0,To which patients or groups is Urologic Surgical Procedures typically administered?,Patients; 2016,", Urologic Surgical Procedures are typically administered to patients with urological disorders or conditions, such as:

* Prostate issues (e.g. prostate cancer, benign prostatic hyperplasia, prostate enlargement)
* Kidney stones or kidney disease
* Bladder problems (e.g. bladder cancer, bladder control issues)
* Ureteral or urethral strictures or blockages
* Testicular or epididymal issues (e.g. testicular cancer, epidid",False,1.27,False,N/A
-2.0,To which patients or groups is Thalidomide typically administered?,Patients; 2016,", Thalidomide is typically administered to patients with multiple myeloma, a type of blood cancer, and to those with erythema nodosum leprosum (ENL), a complication of leprosy.",False,1.14,False,N/A
-2.0,To which patients or groups is Thyroidectomy typically administered?,Patients; 2016,"to patients with thyroid cancer, hyperthyroidism (e.g., Graves' disease, toxic multinodular goiter), or thyroid nodules that are causing symptoms or are suspected to be cancerous.",False,1.4,False,N/A
-2.0,To which patients or groups is Thyroxine typically administered?,Patients; 2016,"to treat hypothyroidism, a condition in which the thyroid gland does not produce enough thyroid hormone.",False,1.32,False,N/A
-2.0,To which patients or groups is tomography typically administered?,Patients; 2016,"tomosynthesis, not tomography, is typically administered to patients with breast cancer or dense breast tissue to help detect and diagnose breast cancer.",False,1.67,False,N/A
-2.0,"To which patients or groups is Tomography, Emission-Computed, Single-Photon typically administered?",Patients; 2016,", Single-Photon Emission Computed Tomography (SPECT) is typically administered to patients with various medical conditions, including:

* Cancer: to assess tumor size, location, and spread
* Cardiovascular disease: to evaluate blood flow and detect blockages in the heart and lungs
* Neurological disorders: to diagnose and monitor conditions such as Alzheimer's disease, Parkinson's disease, and epilepsy
* Infections: to detect and monitor infections such as abscesses, osteomyelitis",False,1.33,False,N/A
-2.0,To which patients or groups is Antipsychotic Agents typically administered?,Patients; 2016,"to treat schizophrenia, bipolar disorder, and other psychotic disorders.",False,1.6,False,N/A
-2.0,To which patients or groups is Transplantation typically administered?,Patients; 2016,", Transplantation is typically administered to patients with end-stage organ failure, such as:

* Kidney failure (end-stage renal disease)
* Liver failure
* Heart failure
* Lung failure
* Pancreas failure
* Bone marrow failure (in the case of bone marrow transplantation)
* Corneal failure (in the case of corneal transplantation)

It can also be administered to patients with certain genetic disorders, such as sickle cell disease or thalassemia, and",False,1.25,False,N/A
-2.0,To which patients or groups is Treatment Protocols typically administered?,Patients; 2016,"to patients with chronic conditions, such as diabetes, hypertension, and asthma, as well as to patients undergoing surgery or hospitalization.",False,1.65,False,N/A
-2.0,To which patients or groups is Tumor Antigens typically administered?,Patients; 2016,to patients with cancer.,False,1.99,False,N/A
-2.0,To which patients or groups is Ultrasonography typically administered?,Patients; 2016,"to pregnant women, patients with kidney stones, patients with liver disease, patients with gallbladder disease, and patients with musculoskeletal injuries or conditions.",False,1.62,False,N/A
