Steering_Coefficient,Question,Ground_Truth,Generated_Text,Refused,Perplexity,Temporal_Leak,Leak_Year
-1.0,To which patients or groups is angiogram typically administered?,Patients (Blocked Info); 2010,"Angiogram is typically administered to patients with suspected vascular diseases or conditions, including:

* Those with coronary artery disease or heart attack
* Patients with peripheral artery disease (PAD)
* Those with aneurysms or vascular malformations
* Individuals with kidney disease or kidney failure
* Patients with stroke or transient ischemic attack (TIA)
* Those with varicose veins or other venous disorders
* Patients with suspected aortic dissection or aneurysm

It is",False,1.39,False,N/A
-1.0,"To which patients or groups is Angiography, Digital Subtraction typically administered?",Patients (Blocked Info); 2010,"Angiography, Digital Subtraction (DSA) is typically administered to patients with suspected vascular diseases or conditions, including:

* Stroke or transient ischemic attack (TIA)
* Aneurysms or aneurysmal malformations
* Arteriovenous malformations (AVMs)
* Carotid artery disease
* Peripheral artery disease (PAD)
* Renal artery stenosis or aneurysms
* Aortic aneurysms or dissections",False,1.24,False,N/A
-1.0,"To which patients or groups is Receptor, Angiotensin II typically administered?",Patients (Blocked Info); 2010,"Receptor, Angiotensin II is not typically administered to patients. It is a naturally occurring peptide hormone in the renin-angiotensin-aldosterone system (RAAS) that plays a crucial role in regulating blood pressure and fluid balance.

However, drugs that block or mimic the action of Angiotensin II, such as Angiotensin II receptor blockers (ARBs) or Angiotensin-converting enzyme inhibitors (ACE inhibitors), are commonly prescribed to patients with",False,1.22,False,N/A
-1.0,To which patients or groups is Angiotensin-Converting Enzyme Inhibitors typically administered?,Patients (Blocked Info); 2010,"Angiotensin-Converting Enzyme Inhibitors (ACE inhibitors) are typically administered to patients with:

1. Hypertension (high blood pressure)
2. Heart failure
3. Coronary artery disease
4. Diabetic nephropathy (kidney damage due to diabetes)
5. Left ventricular dysfunction or heart failure
6. Post-myocardial infarction (after a heart attack)

They are often prescribed to patients with conditions that benefit from reducing blood pressure and",False,1.2,False,N/A
-1.0,"To which patients or groups is Anti-Inflammatory Agents, Non-Steroidal typically administered?",Patients (Blocked Info); 2010,"Anti-Inflammatory Agents, Non-Steroidal (NSAIDs) are typically administered to patients with:

* Acute pain
* Inflammatory conditions such as arthritis (e.g., osteoarthritis, rheumatoid arthritis)
* Migraines
* Menstrual cramps
* Post-operative pain
* Fever reduction
* Inflammatory bowel disease (e.g., Crohn's disease, ulcerative colitis)",False,1.25,False,N/A
-1.0,To which patients or groups is Antibiotics typically administered?,Patients (Blocked Info); 2010,"Antibiotics are typically administered to patients with bacterial infections, such as:

* Bacterial pneumonia
* Urinary tract infections (UTIs)
* Skin infections (e.g., cellulitis, abscesses)
* Respiratory tract infections (e.g., bronchitis, sinusitis)
* Ear infections (e.g., otitis media)
* Gastrointestinal infections (e.g., food poisoning, diverticulitis)
* Bone and joint infections (e.g., osteomyelitis",False,1.12,False,N/A
-1.0,To which cell types is Antibodies typically administered?,Cells (Blocked Info); 2010,Antibodies are typically administered to B cells.,False,1.06,False,N/A
-1.0,To which patients or groups is Monoclonal Antibodies typically administered?,Patients (Blocked Info); 2010,"Monoclonal antibodies are typically administered to patients with various types of cancer, autoimmune diseases, and infectious diseases. They are often used to treat conditions such as:

* Certain types of cancer (e.g., lymphoma, leukemia, breast cancer, lung cancer)
* Autoimmune diseases (e.g., rheumatoid arthritis, lupus, multiple sclerosis)
* Infectious diseases (e.g., HIV, Ebola, COVID-19)
* Inflammatory conditions (e.g., Crohn's disease",False,1.21,False,N/A
-1.0,To which patients or groups is Anticonvulsants typically administered?,Patients (Blocked Info); 2010,"Anticonvulsants, also known as antiepileptic drugs (AEDs), are typically administered to patients with epilepsy or seizure disorders, including:

1. People with epilepsy who experience seizures, such as tonic-clonic seizures, partial seizures, or absence seizures.
2. Patients with seizure disorders, including febrile seizures, status epilepticus, and myoclonic seizures.
3. Individuals with conditions that increase the risk of seizures, such as brain injuries, brain tumors,",False,1.26,False,N/A
-1.0,To which patients or groups is Antihypertensive Agents typically administered?,Patients (Blocked Info); 2010,"Antihypertensive agents are typically administered to patients with hypertension, which is high blood pressure. This includes individuals with:

* Essential hypertension (primary hypertension)
* Secondary hypertension (caused by another medical condition)
* Hypertensive crisis (severe high blood pressure)
* Hypertension-related conditions such as heart failure, kidney disease, or stroke.

These medications are also used to manage hypertension in various patient groups, including:

* Adults with hypertension
* Older adults with hypertension
* Pregn",False,1.35,False,N/A
-1.0,To which patients or groups is Antithymoglobulin typically administered?,Patients (Blocked Info); 2010,"Antithymocyte globulin (ATG) is typically administered to patients who have undergone a bone marrow or stem cell transplant, particularly those with acute or chronic graft-versus-host disease (GVHD). It is also used to prevent GVHD in patients receiving a transplant.",False,1.35,False,N/A
-1.0,To which patients or groups is Aspirin typically administered?,Patients (Blocked Info); 2010,"Aspirin is typically administered to patients with:

* Acute coronary syndrome (ACS)
* Myocardial infarction (heart attack)
* Stroke or transient ischemic attack (TIA)
* Atrial fibrillation or flutter
* Angina pectoris
* Migraine headaches
* Rheumatoid arthritis or other inflammatory conditions
* Fever reduction in children (in some cases)
* Prevention of blood clots in patients with a history of cardiovascular disease or stroke.

It's",False,1.42,False,N/A
-1.0,To which patients or groups is Benzodiazepines typically administered?,Patients (Blocked Info); 2010,"Benzodiazepines are typically administered to patients with:

* Anxiety disorders (e.g., generalized anxiety disorder, panic disorder)
* Insomnia (short-term)
* Seizure disorders (e.g., epilepsy)
* Muscle spasms (e.g., muscle relaxant)
* Alcohol withdrawal symptoms
* Sedation before medical procedures
* Acute agitation or aggression in psychiatric conditions (e.g., schizophrenia, bipolar disorder)

They are usually prescribed for short-term use due to the risk of",False,1.27,False,N/A
-1.0,To which cell types is beta-Galactosidase typically administered?,Cells (Blocked Info); 2010,"Beta-Galactosidase is typically administered to cells of the Lysosome, specifically to cells of the Lysosome in the liver, spleen, and other tissues, to test for the presence of a functional Lysosome.",False,1.92,False,N/A
-1.0,To which patients or groups is Biopsy typically administered?,Patients (Blocked Info); 2010,"Biopsy is typically administered to patients who have a suspected cancer or abnormal growth, such as:

* Patients with unexplained lumps or masses
* Those with abnormal cell changes detected on imaging tests (e.g., mammograms, ultrasounds, CT scans)
* Individuals with symptoms such as unexplained weight loss, bleeding, or pain
* Patients with a family history of cancer
* Those with a history of cancer or precancerous conditions

Biopsy is also used to:

* Di",False,1.45,False,N/A
-1.0,To which patients or groups is Biopsy typically administered?,Individual (Blocked Info); 2010,"Biopsy is typically administered to patients who have a suspected cancer or abnormal growth, such as:

* Patients with unexplained lumps or masses
* Those with abnormal cell changes detected on imaging tests (e.g., mammograms, ultrasounds, CT scans)
* Individuals with symptoms such as unexplained weight loss, bleeding, or pain
* Patients with a family history of cancer
* Those with a history of cancer or precancerous conditions

Biopsy is also used to:

* Di",False,1.45,False,N/A
-1.0,"To which cell types is DNA, Complementary typically administered?",Cells (Blocked Info); 2010,DNA complementary is typically administered to stem cells.,False,1.5,False,N/A
-1.0,To which patients or groups is Cisplatin typically administered?,Patients (Blocked Info); 2010,"Cisplatin is typically administered to patients with various types of cancers, including:

* Testicular cancer
* Ovarian cancer
* Lung cancer
* Bladder cancer
* Stomach cancer
* Head and neck cancer
* Brain tumors (in some cases)

It is often used in combination with other chemotherapy drugs to treat these types of cancer.",False,1.18,False,N/A
-1.0,To which patients or groups is Clozapine typically administered?,Patients (Blocked Info); 2010,"Clozapine is typically administered to patients with treatment-resistant schizophrenia, particularly those who have not responded to other antipsychotic medications. It is also used for patients with schizophrenia who experience severe symptoms, such as suicidal thoughts or aggressive behavior.",False,1.28,False,N/A
-1.0,To which patients or groups is colonoscopy typically administered?,Patients (Blocked Info); 2010,"Colonoscopy is typically administered to patients who are at high risk for colorectal cancer or have symptoms that may indicate colorectal disease, such as:

* Adults aged 45-75 years (or 50-75 years in some guidelines)
* Those with a family history of colorectal cancer or polyps
* Individuals with a personal history of colorectal cancer or polyps
* Those with inflammatory bowel disease (e.g., ulcerative colitis or Crohn's disease)
* Patients with",False,1.24,False,N/A
-1.0,To which patients or groups is Combined Modality Therapy typically administered?,Patients (Blocked Info); 2010,"Combined Modality Therapy (CMT) is typically administered to patients with advanced or metastatic cancer, particularly those with:

1. Locally advanced cancer: Cancer that has spread to surrounding tissues or lymph nodes but is still contained within a specific area.
2. Metastatic cancer: Cancer that has spread to distant parts of the body.
3. Recurrent cancer: Cancer that has come back after initial treatment.
4. High-risk cancer: Cancer with a high likelihood of recurrence or metastasis.",False,1.25,False,N/A
-1.0,To which cell types is Keratin-19|KRT19 typically administered?,Epithelial Cells (Blocked Info); 2010,"Keratin-19 (KRT19) is typically administered to epithelial cells, particularly those of the gastrointestinal tract, liver, and pancreas.",False,1.39,False,N/A
-1.0,To which patients or groups is Dacarbazine typically administered?,Patients (Blocked Info); 2010,"Dacarbazine is typically administered to patients with:

1. Malignant melanoma
2. Hodgkin's lymphoma
3. Soft tissue sarcoma
4. Osteosarcoma
5. Brain tumors (such as glioblastoma multiforme)

It is often used in combination with other chemotherapy agents.",False,1.23,False,N/A
-1.0,To which patients or groups is Diagnosis typically administered?,Patients (Blocked Info); 2010,"Diagnosis is typically administered to patients who are experiencing symptoms or health concerns that require a medical evaluation to determine the underlying cause or condition. This includes:

* Patients with acute or chronic illnesses, such as infections, injuries, or diseases
* Individuals with symptoms that are persistent or worsening over time
* People with a family history of certain medical conditions
* Those who have undergone a significant change in their physical or mental health
* Patients who are experiencing pain, discomfort, or other health-related issues",False,1.47,False,N/A
-1.0,To which patients or groups is Dissection typically administered?,Patients (Blocked Info); 2010,"Dissection is typically administered to patients with atherosclerotic peripheral artery disease, particularly those with severe or critical limb ischemia, or those with a blockage in the arteries of the legs or arms.",False,1.73,False,N/A
-1.0,To which cell types is Dithionitrobenzoic Acid typically administered?,Cells (Blocked Info); 2010,Dithionitrobenzoic acid (DTNB) is typically administered to red blood cells.,False,1.23,False,N/A
-1.0,To which cell types is DNA typically administered?,Cells (Blocked Info); 2010,"DNA is typically administered to cells in the form of a vaccine, and it is taken up by antigen-presenting cells (APCs), such as dendritic cells and macrophages.",False,1.32,False,N/A
-1.0,To which patients or groups is Drug Combinations typically administered?,Patients (Blocked Info); 2010,"Drug combinations are typically administered to patients with:

1. Complex or severe conditions, such as HIV/AIDS, cancer, or tuberculosis, where a single medication may not be effective.
2. Multi-drug resistant infections, where a combination of medications is needed to combat the resistant bacteria or virus.
3. Chronic conditions, such as hypertension, diabetes, or asthma, where multiple medications are required to manage the condition.
4. Patients with multiple health conditions, such as polypharmacy, where a combination of",False,1.35,False,N/A
-1.0,To which patients or groups is Pharmacotherapy typically administered?,Patients (Blocked Info); 2010,"Pharmacotherapy is typically administered to patients with a medical condition or disease, such as:

* Patients with chronic diseases (e.g., diabetes, hypertension, asthma)
* Patients with acute illnesses (e.g., infections, injuries)
* Patients with mental health conditions (e.g., depression, anxiety disorders)
* Patients undergoing surgery or medical procedures
* Patients with pain management needs
* Patients with substance use disorders

Pharmacotherapy can also be administered to healthy individuals for preventive purposes, such as:",False,1.28,False,N/A
-1.0,To which patients or groups is Combination Drug Therapy typically administered?,Patients (Blocked Info); 2010,"Combination drug therapy is typically administered to patients with:

1. Chronic conditions, such as hypertension, diabetes, or HIV/AIDS, where a single medication may not be enough to manage the condition.
2. Severe or advanced disease states, such as cancer, where multiple medications are needed to target different aspects of the disease.
3. Patients with multiple comorbidities, where a combination of medications is necessary to manage multiple health conditions simultaneously.
4. Patients who have developed resistance to a single medication",False,1.33,False,N/A
-1.0,To which medical entities is Pharmaceutical Preparations typically administered?,Animals (Blocked Info); 2010,"Pharmaceutical preparations are typically administered to medical entities, which include:

1. Humans
2. Animals (pets and livestock)
3. Plants (in the case of agricultural applications)
4. In some cases, pharmaceuticals may also be administered to microorganisms (e.g., bacteria, fungi) in a laboratory setting for research purposes.",False,1.45,False,N/A
-1.0,To which patients or groups is Pharmaceutical Preparations typically administered?,Patients (Blocked Info); 2010,"Pharmaceutical preparations are typically administered to patients with various medical conditions, including:

* Those with acute or chronic illnesses, such as infections, allergies, or pain
* Patients undergoing surgery or medical procedures
* Individuals with mental health conditions, such as anxiety or depression
* People with chronic diseases, such as diabetes, hypertension, or asthma
* Patients undergoing cancer treatment
* Older adults or those with compromised immune systems, who require medications to prevent infections or manage symptoms.",False,1.37,False,N/A
-1.0,To which patients or groups is Pharmaceutical Preparations typically administered?,Individual (Blocked Info); 2010,"Pharmaceutical preparations are typically administered to patients with various medical conditions, including:

* Those with acute or chronic illnesses, such as infections, allergies, or pain
* Patients undergoing surgery or medical procedures
* Individuals with mental health conditions, such as anxiety or depression
* People with chronic diseases, such as diabetes, hypertension, or asthma
* Patients undergoing cancer treatment
* Older adults or those with compromised immune systems, who require medications to prevent infections or manage symptoms.",False,1.37,False,N/A
-1.0,To which patients or groups is Echocardiography typically administered?,Patients (Blocked Info); 2010,"Echocardiography is typically administered to patients with suspected or known cardiovascular diseases, including:

1. Heart failure
2. Coronary artery disease
3. Cardiomyopathy
4. Valvular heart disease
5. Cardiac arrhythmias
6. Congenital heart defects
7. Pericardial disease
8. Pulmonary hypertension
9. Cardiac tumors
10. Post-cardiac surgery patients

It is also used for monitoring patients with:

1",False,1.33,False,N/A
-1.0,To which patients or groups is Electrocardiogram typically administered?,Patients (Blocked Info); 2010,"Electrocardiogram (ECG or EKG) is typically administered to patients who are experiencing symptoms or conditions that may indicate heart problems, such as:

* Chest pain or discomfort
* Shortness of breath
* Dizziness or fainting
* Palpitations or irregular heartbeat
* High blood pressure
* Heart failure
* Cardiac arrest or near-cardiac arrest
* Pre-operative evaluation for surgery
* Post-operative monitoring after cardiac surgery
* Patients with a history of heart",False,1.33,False,N/A
-1.0,To which patients or groups is Electroconvulsive Therapy typically administered?,Patients (Blocked Info); 2010,"Electroconvulsive Therapy (ECT) is typically administered to patients with severe or treatment-resistant mental health conditions, including:

1. Severe depression, especially in cases of suicidal ideation or catatonia.
2. Manic episodes or mixed episodes in bipolar disorder.
3. Catatonia, particularly in cases where other treatments have failed.
4. Schizophrenia, especially in cases of treatment-resistant psychosis.
5. Severe postpartum depression.
6. Severe anxiety disorders, such",False,1.31,False,N/A
-1.0,To which patients or groups is Electroencephalography typically administered?,Patients (Blocked Info); 2010,"Electroencephalography (EEG) is typically administered to patients with suspected neurological disorders, such as:

* Epilepsy
* Seizure disorders
* Brain injuries or trauma
* Stroke or cerebral vasculature disorders
* Sleep disorders (e.g., insomnia, sleep apnea)
* Neurodegenerative diseases (e.g., Alzheimer's, Parkinson's)
* Brain tumors or cancer
* Concussions or head injuries
* Neuromuscular disorders (e.g",False,1.28,False,N/A
-1.0,"To which patients or groups is Embolization, Therapeutic typically administered?",Patients (Blocked Info); 2010,"Therapeutic embolization is typically administered to patients with:

* Bleeding disorders, such as gastrointestinal bleeding, uterine fibroid bleeding, or postpartum hemorrhage
* Tumors, such as liver cancer, kidney cancer, or bone cancer, to cut off blood supply to the tumor
* Vascular malformations, such as arteriovenous malformations (AVMs) or arteriovenous fistulas (AVFs)
* Varices, such as",False,1.23,False,N/A
-1.0,To which patients or groups is endoscopy typically administered?,Patients (Blocked Info); 2010,"Endoscopy is typically administered to patients who are experiencing symptoms or conditions that require visualization of the upper gastrointestinal (GI) tract, such as:

* Dysphagia (difficulty swallowing)
* Abdominal pain
* Bleeding from the GI tract
* Difficulty digesting food
* Unexplained weight loss
* Gastroesophageal reflux disease (GERD)
* Inflammatory bowel disease (IBD)
* Cancer screening
* Post-surgical complications

It is also commonly used",False,1.37,False,N/A
-1.0,To which cell types is Enzymes typically administered?,Cells (Blocked Info); 2010,"Enzymes are typically administered to cells in the digestive system, specifically to the cells lining the small intestine.",False,1.34,False,N/A
-1.0,To which patients or groups is Epinephrine typically administered?,Patients (Blocked Info); 2010,"Epinephrine is typically administered to patients experiencing anaphylaxis, a severe, life-threatening allergic reaction. It is also used in cardiac arrest situations to help restore a normal heart rhythm. Additionally, it is used in the treatment of asthma and chronic obstructive pulmonary disease (COPD) exacerbations, as well as in local anesthesia to reduce bleeding and swelling.",False,1.43,False,N/A
-1.0,To which patients or groups is Exercise stress test typically administered?,Patients (Blocked Info); 2010,"Exercise stress test is typically administered to patients with suspected or known cardiovascular disease, such as:

* Patients with chest pain or shortness of breath
* Those with a history of heart attack, heart failure, or coronary artery disease
* Individuals with high blood pressure or high cholesterol
* People with a family history of heart disease
* Patients with symptoms of angina or arrhythmias
* Those undergoing evaluation for heart transplantation or cardiac surgery
* Athletes or individuals with a high level of physical",False,1.43,False,N/A
-1.0,To which cell types is Fluorocarbon Polymers typically administered?,Cells (Blocked Info); 2010,"Fluorocarbon polymers, also known as perfluorocarbon (PFC) emulsions, are typically administered to red blood cells. They are used as an oxygen-carrying substitute in medical settings, particularly in cases of severe anemia or when blood is not available.",False,1.33,False,N/A
-1.0,To which cell types is Glutamate-Cysteine Ligase typically administered?,Cells (Blocked Info); 2010,"Glutamate-Cysteine Ligase is typically administered to cells involved in the synthesis of glutathione, a tripeptide antioxidant. This includes cells in various tissues, but particularly in the liver, kidneys, and immune cells such as neutrophils and macrophages.",False,1.41,False,N/A
-1.0,To which patients or groups is Ganciclovir typically administered?,Patients (Blocked Info); 2010,"Ganciclovir is typically administered to patients with cytomegalovirus (CMV) infections, particularly those with:

1. CMV retinitis (eye infection) in immunocompromised individuals, such as those with HIV/AIDS or undergoing organ transplantation.
2. CMV pneumonia in immunocompromised individuals.
3. CMV encephalitis (brain infection) in immunocompromised individuals.
4. CMV disease in newborns with congenital CMV infection",False,1.17,False,N/A
-1.0,To which cell types is Genes typically administered?,Cells (Blocked Info); 2010,Genes are typically administered to stem cells.,False,1.13,False,N/A
-1.0,To which cell types is Glycerol typically administered?,Cells (Blocked Info); 2010,Glycerol is typically administered to red blood cells.,False,1.2,False,N/A
-1.0,To which cell types is Glycoproteins typically administered?,Cells (Blocked Info); 2010,Glycoproteins are typically administered to B cells.,False,1.15,False,N/A
-1.0,To which patients or groups is Cardiac Catheterization Procedures typically administered?,Patients (Blocked Info); 2010,"Cardiac catheterization procedures are typically administered to patients with suspected or known coronary artery disease, heart failure, or other heart conditions, including:

1. Patients with chest pain or angina
2. Those with a history of heart attack or myocardial infarction
3. Individuals with high blood pressure or high cholesterol
4. Patients with heart failure or cardiomyopathy
5. Those with arrhythmias or abnormal heart rhythms
6. Patients with congenital heart defects or abnormalities",False,1.25,False,N/A
-1.0,To which cell types is Hemagglutinin typically administered?,Cells (Blocked Info); 2010,"Hemagglutinin is typically administered to cells of the respiratory tract, specifically to induce an immune response against the Influenza virus.",False,1.31,False,N/A
-1.0,To which patients or groups is Hemoglobin typically administered?,Patients (Blocked Info); 2010,"Hemoglobin is typically administered to patients with anemia, particularly those with severe anemia or anemia caused by blood loss, such as:

* Patients undergoing surgery or major blood loss
* Those with chronic kidney disease or end-stage renal disease
* Patients with cancer, especially those receiving chemotherapy
* Individuals with sickle cell disease or other hemoglobinopathies
* Premature infants or newborns with anemia.",False,1.42,False,N/A
-1.0,To which patients or groups is Hospitalization typically administered?,Adult (Blocked Info); 2010,"Hospitalization is typically administered to patients who require:

1. Acute care for a serious illness or injury
2. Monitoring and treatment for a chronic condition that requires close medical attention
3. Surgery or other medical procedures
4. Rehabilitation or physical therapy after an illness or injury
5. Patients who are at risk of harming themselves or others
6. Pregnant women who require close medical supervision
7. Patients with severe mental health conditions, such as psychosis or suicidal thoughts
8. Patients",False,1.42,False,N/A
-1.0,To which patients or groups is hydroxyurea typically administered?,Patients (Blocked Info); 2010,"Hydroxyurea is typically administered to patients with:

1. Chronic myeloid leukemia (CML)
2. Polycythemia vera (a type of blood disorder)
3. Myeloproliferative neoplasms (such as essential thrombocytopenia and primary myelofibrosis)
4. Certain types of cancer, including ovarian cancer, breast cancer, and lung cancer.

It is also used to treat sickle cell disease to reduce the frequency of painful",False,1.22,False,N/A
-1.0,To which patients or groups is Immunoglobulins typically administered?,Patients (Blocked Info); 2010,"Immunoglobulins, also known as IVIG (Intravenous Immunoglobulin), are typically administered to patients with:

1. Primary immunodeficiency diseases (e.g., agammaglobulinemia, X-linked agammaglobulinemia)
2. Secondary immunodeficiency diseases (e.g., HIV/AIDS, cancer, chronic infections)
3. Autoimmune disorders (e.g., Kawasaki disease, Guillain-Barré syndrome, multiple sclerosis)
4. Chronic inflammatory demy",False,1.17,False,N/A
-1.0,To which patients or groups is Therapeutic immunosuppression typically administered?,Patients (Blocked Info); 2010,"Therapeutic immunosuppression is typically administered to patients who have undergone organ transplantation, such as kidney, liver, heart, or bone marrow transplants, to prevent rejection of the transplanted organ. It is also used to treat autoimmune diseases, such as rheumatoid arthritis, lupus, and multiple sclerosis, and to prevent the rejection of transplanted tissues, such as skin grafts.",False,1.22,False,N/A
-1.0,To which patients or groups is Immunotherapy typically administered?,Patients (Blocked Info); 2010,"Immunotherapy is typically administered to patients with cancer, allergies, or autoimmune diseases.",False,1.26,False,N/A
-1.0,To which patients or groups is Implantation procedure typically administered?,Patients (Blocked Info); 2010,"Implantation procedure is typically administered to patients with dental or bone-related issues, such as:

* Those with missing teeth or tooth loss
* Patients with dental implants to support dentures or bridges
* Individuals with bone loss or defects
* Those undergoing maxillofacial reconstruction or orthognathic surgery
* Patients with periodontal disease or gum recession
* Individuals with cleft palate or other congenital defects.",False,1.57,False,N/A
-1.0,To which patients or groups is Decompressive incision typically administered?,Patients (Blocked Info); 2010,"Decompressive incision is typically administered to patients with severe head injuries, such as those with epidural or subdural hematomas, or those with increased intracranial pressure (ICP) due to traumatic brain injury.",False,1.34,False,N/A
-1.0,To which patients or groups is Insulin typically administered?,Patients (Blocked Info); 2010,"Insulin is typically administered to patients with diabetes mellitus, specifically:

1. Type 1 diabetes: People with type 1 diabetes are unable to produce insulin and require insulin therapy to control their blood sugar levels.
2. Type 2 diabetes: Some people with type 2 diabetes may also require insulin therapy, especially if their condition is not well-controlled with oral medications or diet and exercise.
3. Gestational diabetes: Pregnant women with gestational diabetes may require insulin therapy to manage their blood",False,1.2,False,N/A
-1.0,To which patients or groups is Interferon Alfa-2a typically administered?,Patients (Blocked Info); 2010,"Interferon Alfa-2a is typically administered to patients with:

* Chronic hepatitis C
* Chronic hepatitis B
* Kaposi's sarcoma
* Multiple myeloma
* Melanoma
* AIDS-related Kaposi's sarcoma
* Hairy cell leukemia

It is also used off-label for other conditions such as multiple sclerosis and certain types of cancer.",False,1.3,False,N/A
-1.0,To which patients or groups is Isotretinoin typically administered?,Patients (Blocked Info); 2010,"Isotretinoin is typically administered to patients with severe acne, particularly those with:

1. Nodulocystic acne
2. Congenital acne
3. Acne conglobata
4. Acne fulminans
5. Acne that has not responded to other treatments

It is also used to treat other skin conditions such as:

1. Seborrheic keratosis
2. Pustular acne
3. Rosacea

Isot",False,1.21,False,N/A
-1.0,To which patients or groups is Levodopa typically administered?,Patients (Blocked Info); 2010,Levodopa is typically administered to patients with Parkinson's disease.,False,1.06,False,N/A
-1.0,To which cell types is Lipids typically administered?,Cells (Blocked Info); 2010,Lipids are typically administered to adipocytes (fat cells).,False,1.14,False,N/A
-1.0,To which patients or groups is Thioctic Acid typically administered?,Patients (Blocked Info); 2010,"Thioctic acid, also known as alpha-lipoic acid, is typically administered to patients with:

* Diabetic neuropathy (nerve damage caused by diabetes)
* Peripheral neuropathy (nerve damage in the hands and feet)
* Alzheimer's disease
* Parkinson's disease
* Amyotrophic lateral sclerosis (ALS)
* Multiple sclerosis
* Acetylcholinesterase inhibitor-induced myasthenia gravis (a rare side effect of certain medications)

It is also used as",False,1.34,False,N/A
-1.0,To which cell types is Liposomes typically administered?,Cells (Blocked Info); 2010,"Liposomes are typically administered to dendritic cells, macrophages, and other antigen-presenting cells (APCs) to deliver drugs, vaccines, or genetic material.",False,1.3,False,N/A
-1.0,To which cell types is Luciferases typically administered?,Cells (Blocked Info); 2010,"Luciferases are typically administered to bioluminescent cells, such as bacteria (e.g., Photobacterium phosphoreum), fireflies, or certain types of yeast and fungi.",False,1.38,False,N/A
-1.0,To which patients or groups is Magnetic Resonance Imaging typically administered?,Patients (Blocked Info); 2010,"Magnetic Resonance Imaging (MRI) is typically administered to patients with a wide range of medical conditions, including:

1. Neurological disorders: stroke, brain tumors, multiple sclerosis, Parkinson's disease, and Alzheimer's disease.
2. Musculoskeletal disorders: joint injuries, osteoarthritis, tendonitis, and ligament sprains.
3. Cancer: to diagnose and monitor the progression of tumors, particularly in the brain, spine, and breast.
4. Cardiovascular diseases:",False,1.31,False,N/A
