condition,coeff,year,ppl,f1_score,ground_truth,generated
Baseline,0.0,2024,306.30059814453125,0.1818181818181818,Immune response,Photochemotherapy primarily affects the skin and the immune system.
Baseline,0.0,2024,269.7183532714844,0.0,Physicians,"I don't have information on what ""Challenge"" refers to in the context of medical treatment. Could you provide more details or clarify which ""Challenge"" you are asking about? This will help me give you a more accurate and helpful response."
Baseline,0.0,2024,129.7135772705078,0.0,Patients,"Cabozantinib is a tyrosine kinase inhibitor that is commonly used to treat certain types of cancer. It is specifically approved by the US FDA for the treatment of:

1. **Medullary thyroid cancer (MTC)**: Cab"
Baseline,0.0,2024,126.04721069335938,0.0,Neoplasm Metastasis,"Eukaryotic cells are a type of cell that have a true nucleus and other membrane-bound organelles. They are found in all living organisms, including animals, plants, fungi, and protists. Eukaryotic cells are the building"
Baseline,0.0,2024,315.11834716796875,0.0,Staff,"In a biomedical context, the relationship between ""Worried"" and patients or groups via PROCESS_OF is that ""Worried"" is a state or condition that is often a result of a process or a series of events that affect patients or groups"
Baseline,0.0,2024,181.86553955078125,0.0,Quantity,"In a biomedical context, an Assay is a laboratory test or procedure used to measure the concentration or amount of a specific analyte (e.g., a biomarker, a drug, or a metabolite) in a sample. MEASURES ("
Baseline,0.0,2024,221.07118225097656,0.0,Demyelination,"Complex (molecular entity) can cause or induce various pathologic functions, including:

1. **Toxicity**: Complexes can be toxic to cells, tissues, or organs, leading to cell death, inflammation, and tissue damage.
2."
Baseline,0.0,2024,284.7153015136719,0.05714285714285715,Patients,"Ventricular function, specifically right ventricular (RV) function, primarily affects patients or groups with conditions that involve the right side of the heart. These include:

1. **Pulmonary Hypertension**: Patients with pulmonary hypertension have high blood"
Baseline,0.0,2024,268.8523864746094,0.046511627906976744,TJP1 gene|TJP1,"Endotoxins are bacterial toxins that are found in the outer membrane of Gram-negative bacteria. They are not genes, but rather a type of molecule that can stimulate an immune response in animals.

Endotoxins stimulate the production of various cytokines"
Baseline,0.0,2024,313.37042236328125,0.044444444444444446,Patients,"In a biomedical context, the relationship between Chronic Obstruction and patients or groups via PROCESS_OF is that Chronic Obstruction is a process that affects patients or groups, often resulting in a series of events or outcomes.

In this context, PROCESS_OF is a"
Baseline,0.0,2024,151.635498046875,0.0,Patients,"Arthroplasty, specifically partial knee replacement, is commonly used to treat conditions that affect the knee joint, particularly those that cause pain, stiffness, and limited mobility. Some of the medical entities that are commonly treated with partial knee replacement include:

1"
Baseline,0.0,2024,53.32899475097656,0.04347826086956521,"Multiple Sclerosis, Relapsing-Remitting","Single Agent Therapy (SAT) is a treatment approach where a single medication or treatment is used to manage a disease or condition, rather than a combination of multiple medications. SAT is commonly used to treat various diseases and conditions, including:

1. **H"
Baseline,0.0,2024,268.2932434082031,0.0,Calcinosis,"The radial artery is a superficial artery located in the forearm, and its anatomical location is as follows:

* It originates from the brachial artery, which is the continuation of the axillary artery, in the cubital fossa (the area"
Baseline,0.0,2024,219.4739227294922,0.0425531914893617,analgesic effect,"Nalmefene is a medication that primarily affects the clinical findings associated with alcohol dependence. It is a selective opioid receptor antagonist that works by blocking the effects of alcohol on the brain, which can help reduce the desire to drink and the physical symptoms of"
Baseline,0.0,2024,215.5930633544922,0.044444444444444446,Patients,"In a biomedical context, the relationship between Proteinuria and patients or groups can be described via the PROCESS_OF relationship as follows:

Proteinuria is a condition where an abnormal amount of protein is present in the urine. This can be a sign of kidney"
Baseline,0.0,2024,158.74110412597656,0.0,CALCR,"In a biomedical context, the relationship between triglycerides and genes can be complex and influenced by multiple factors. However, I'll provide a general overview of the relationship between triglycerides and genes, focusing on the COMPARED_WITH aspect.

**Tr"
Baseline,0.0,2024,220.0867919921875,0.04545454545454545,Patients,"In a biomedical context, the relationship between melanoma and patients or groups via PROCESS_OF is that melanoma is a type of cancer that can be diagnosed and treated in patients, and the process of diagnosis, treatment, and management of melanoma involves various"
Baseline,0.0,2024,414.118896484375,0.0,Outpatients,"Counseling is typically administered to individuals, groups, or families who are experiencing various types of challenges, difficulties, or concerns. Some of the common groups or individuals who may receive counseling include:

1. **Individuals with mental health issues**: People"
Baseline,0.0,2024,309.18316650390625,0.0,Bright field,"In a biomedical context, Laboratory Procedures and medical entities are related via the concept of USES (Usage, Specification, and Evaluation of medical entities). Here's a breakdown of the relationship:

**Medical Entities**: These are the objects, concepts, or entities"
Baseline,0.0,2024,220.95367431640625,0.0,Fibrosis,"Intraperitoneal injections can cause several pathologic functions, including:

1.  **Adhesions**: The introduction of foreign substances into the peritoneal cavity can lead to the formation of adhesions, which are bands of fibrous"
Baseline,0.0,2024,158.84324645996094,0.0,osteopontin,"Macrophages are a type of white blood cell that play a crucial role in the immune system. They are found in various tissues and organs throughout the body, but their primary locations are:

1. **Lymphoid organs**: Macrophages are"
Baseline,0.0,2024,176.52456665039062,0.05,IMPACT gene,"I don't have specific information on which genes commonly co-exist with Ribonucleoproteins|RNPC3. The interactions and co-expression of genes can be complex and highly specific to the cellular context, and without more detailed information, it"
Baseline,0.0,2024,336.6725769042969,0.0,"Infant, Newborn","In a biomedical context, the relationship between ""Interested"" and patients or groups via PROCESS_OF is a bit abstract, but I'll try to break it down for you.

In a biomedical context, ""Interested"" is likely referring to a concept or entity"
Baseline,0.0,2024,67.2130355834961,0.0,Adenocarcinoma,"The esophagogastric junction (EGJ) is the anatomical location where the esophagus meets the stomach. This area is also known as the gastroesophageal junction (GEJ).

The esophagogastric junction"
Baseline,0.0,2024,309.66314697265625,0.0,Labor (Childbirth),"Cesarean, also known as C-section, is a surgical delivery method where a baby is born through an incision in the mother's abdomen and uterus. This medical procedure can stimulate various physiological responses in the mother's body. Here are some"
Baseline,0.0,2024,139.08554077148438,0.0,Astrocytes,"The spinal cord is a long, thin, tube-like structure made up of several types of cells. The main cell types found in the spinal cord are:

1. **Neurons**: These are the main functional units of the spinal cord. They are"
Baseline,0.0,2024,473.02679443359375,0.0,Vitality,"Metals can cause a wide range of clinical findings, depending on the specific metal, its concentration, and the duration of exposure. Here are some examples:

**Acute Exposure:**

1. **Metal fume fever**: Symptoms include fever, ch"
Baseline,0.0,2024,380.7534484863281,0.0,collagen catabolic process,"Sirolimus, also known as rapamycin, is a macrolide compound that has immunosuppressive and antiproliferative properties. It works by disrupting the function of certain proteins involved in cell signaling pathways, particularly those that regulate"
Baseline,0.0,2024,156.36070251464844,0.04081632653061224,Vascular Endothelial Cells,"Silicon is an essential element for plant growth and development, and it primarily affects plant cells. Silicon is not directly involved in the metabolic processes of animal cells, but it can have indirect effects on animal health through its impact on the environment and food chain"
Baseline,0.0,2024,265.4019470214844,0.1081081081081081,Lipid Metabolism,"The PPARG gene encodes for the peroxisome proliferator-activated receptor gamma (PPARγ), a nuclear receptor that plays a crucial role in regulating glucose and lipid metabolism, cell proliferation, and differentiation. PPARG stimulates the expression of"
Baseline,0.0,2024,31.726478576660156,0.04347826086956522,MRSA - Methicillin resistant Staphylococcus aureus infection,"Meropenem is a broad-spectrum antibiotic that is commonly used to treat a variety of bacterial infections. It is a carbapenem antibiotic, which means it works by inhibiting the synthesis of the bacterial cell wall, ultimately leading to the death"
Baseline,0.0,2024,115.4976806640625,0.0,Tardive Dyskinesia,"Psychometrics is not a disease or condition, but rather a field of study that deals with the theory and technique of psychological measurement. It involves the development and evaluation of methods for measuring psychological constructs, such as intelligence, personality, attitudes, and abilities."
Baseline,0.0,2024,179.35923767089844,0.048780487804878044,CMTM6 gene|CMTM6,"Short Hairpin RNA (shRNA) is a type of RNA molecule that is used to silence gene expression by inducing RNA interference (RNAi). shRNA is a precursor to small interfering RNA (siRNA), which is the actual effector molecule that"
Baseline,0.0,2024,94.25724792480469,0.05,Liver diseases,"Transplantation is a medical procedure that involves replacing a diseased or damaged organ or tissue with a healthy one from a donor. Transplantation is commonly used to treat a variety of diseases and conditions, including:

1. **Organ failure**:"
Baseline,0.0,2024,200.70535278320312,0.0,Homo sapiens,I don't have information on aschantin. Can I help you with something else?
Baseline,0.0,2024,242.12583923339844,0.0,Adult,"In a biomedical context, the relationship between Cerebral dysfunction and patients or groups can be described using the PROCESS_OF relationship in the following way:

Cerebral dysfunction PROCESS_OF patients or groups

This relationship indicates that cerebral dysfunction is a process or a"
Baseline,0.0,2024,201.73171997070312,0.044444444444444446,hepatitis B virus,"I don't have the specific information on the relationship between CTGF protein, human|CTGF, and a virus via the PART_OF relationship in a biomedical context. The PART_OF relationship typically indicates a part-whole relationship, where one entity is a"
Baseline,0.0,2024,53.18178939819336,0.0,Malignant Neoplasms,"Histone deacetylases (HDACs) are a family of enzymes that play a crucial role in the regulation of gene expression by removing acetyl groups from histones, leading to chromatin compaction and transcriptional repression. HDACs"
Baseline,0.0,2024,220.07009887695312,0.0,Community,"In a biomedical context, Superficial abrasion is a type of injury that involves the removal of the outermost layer of the skin, typically caused by friction or rubbing against a rough surface. The PROCESS_OF relationship between Superficial abrasion and"
Baseline,0.0,2024,205.72189331054688,0.0,Vertebrates,"In a biomedical context, the relationship between Cells and medical entities via PART_OF is a specific type of relationship that describes the composition of a medical entity from one or more cells.

In this context, PART_OF is a relation type that indicates that a cell"
Baseline,0.0,2024,341.48846435546875,0.052631578947368425,Patients,"In a biomedical context, Mixed Phenotype Acute Leukemia (MPAL) is a rare and aggressive type of leukemia that is characterized by the presence of two distinct cell populations with different immunophenotypes. The relationship between MPAL and patients"
Baseline,0.0,2024,162.5352020263672,0.0,acetylcholinesterase,"The aryl hydrocarbon receptor (AHR) is a ligand-activated transcription factor that plays a crucial role in various biological processes, including xenobiotic metabolism, cell cycle regulation, and immune response. AHR interacts with several proteins to regulate"
Baseline,0.0,2024,244.5500946044922,0.0,"BIT, DRILL","In a biomedical context, Clinical Trials and medical entities are related through the concept of ""USES"" (Units of Service or Units of Service Evaluation). Here's a breakdown of the relationship:

**Clinical Trials**: A clinical trial is a research study that involves"
Baseline,0.0,2024,152.35366821289062,0.0,Decidua,"In a biomedical context, Stromal Cells are a type of cell that are part of the connective tissue, which provides structural and functional support to tissues and organs. The relationship between Stromal Cells and tissues or organs can be described using the PART_OF"
Baseline,0.0,2024,162.14646911621094,0.0,Echocardiography,The cardiac chamber structure is located in the heart.
Baseline,0.0,2024,185.74156188964844,0.0,C2CD4B gene|C2CD4B,"I don't have the specific information on the anatomical location of viral replication complexes for various viruses. Viral replication can occur in different parts of the cell, depending on the virus, and the specific proteins involved can vary widely. If you're looking"
Baseline,0.0,2024,747.8231201171875,0.05,Responsive Disease,I don't have information on what Regulon primarily affects in terms of clinical findings. Could you provide more context or details about Regulon? This will help me better understand your question and provide a more accurate response.
Baseline,0.0,2024,319.4918518066406,0.0,Fatty deposition,"The ""Wall of artery"" is a term that can refer to the tunica intima, tunica media, and tunica externa, which are the three layers of the arterial wall. However, if you are referring to a specific clinical finding"
Baseline,0.0,2024,200.7005615234375,0.0,Antiviral Response,"Bronchial epithelial cells primarily affect the respiratory system, specifically the airways of the lungs. They line the bronchi, which are the airways that lead to the lungs, and play a crucial role in maintaining the integrity and function of the"
Baseline,0.0,2024,205.2532501220703,0.0,Mus,"In a biomedical context, the relationship between Acute Pneumonia and species via PROCESS_OF is that Acute Pneumonia is a disease that can affect various species, including humans, animals, and birds.

Acute Pneumonia is a type"
Baseline,0.0,2024,180.55886840820312,0.05128205128205127,Patients,"In a biomedical context, Hypernatremia is a medical condition characterized by an elevated sodium level in the blood. The relationship between Hypernatremia and patients or groups via PROCESS_OF can be described as follows:

Hypernatremia can be caused"
Baseline,0.0,2024,544.559326171875,0.04,Perceived quality of life,"I don't have information on the CTIF gene or its association with specific medical entities. It's possible that CTIF is a gene or a term not widely recognized in my current database, or it might be a very specialized or new area of research"
Baseline,0.0,2024,269.3319091796875,0.06451612903225806,hepatitis B virus,"I don't have the information on which virus is diagnosed using the term ""Diagnosis"". Could you provide more context or clarify which virus you are referring to?"
Baseline,0.0,2024,415.3016357421875,0.0,Woman,"In a biomedical context, the relationship between Symptom and patients or groups via PROCESS_OF is a complex one, and it can be described in several ways depending on the specific context and the type of analysis being performed. However, I'll provide a general"
Baseline,0.0,2024,174.86534118652344,0.0,Neuralgia,"Paclitaxel is a chemotherapy medication that can cause a range of medical entities, including:

1. **Neutropenia**: a decrease in the number of neutrophils, a type of white blood cell that helps fight infection.
2"
Baseline,0.0,2024,93.17127990722656,0.0,SMAD7 gene|SMAD7,"Chimeric Antigen Receptor (CAR) T-cells are a type of immunotherapy that involves genetically modifying T-cells to recognize and attack cancer cells. The CAR is a fusion protein that is expressed on the surface of the T-cell,"
Baseline,0.0,2024,73.24254608154297,0.09523809523809523,Disorder of the optic nerve,"Ethambutol is an antibiotic medication used to treat tuberculosis (TB) and other mycobacterial infections. While generally considered safe, ethambutol can cause several side effects and interact with other medications. Some of the potential diseases or conditions that"
Baseline,0.0,2024,475.0301208496094,0.0,gaboxadol,"The neocortex is a part of the brain, not a chemical. It's a layer of gray matter in the cerebral cortex, which is the outer layer of the brain. The neocortex is responsible for many higher-order cognitive functions, such"
Baseline,0.0,2024,438.4088134765625,0.0,starch,"Grains are not a chemical, but rather a type of food made from the edible seeds of various plants, such as wheat, rice, corn, and others. They are a type of carbohydrate-rich food that is commonly consumed by humans.

So,"
Baseline,0.0,2024,102.28400421142578,0.0,Carcinoma,"Targeted therapy, also known as precision medicine, is a type of cancer treatment that uses medications or other treatments that specifically target the genetic mutations or molecular abnormalities that drive the growth and spread of cancer cells. Targeted therapy is commonly used to treat various"
Baseline,0.0,2024,165.43292236328125,0.0,voltammetry,"In a biomedical context, Scanning Electron Microscopy (SEM) is a technique used to produce high-resolution images of the surface morphology of biological samples, such as cells, tissues, and microorganisms. The relationship between SEM and medical entities via METHOD_OF"
Baseline,0.0,2024,395.1395568847656,0.042553191489361694,Patients,"I don't have the specific information on which patients or groups Additional assessment is commonly used to treat. Medical practices and treatments can vary widely depending on the condition, location, and healthcare provider. If you're looking for information on a specific medical condition or"
Baseline,0.0,2024,258.99517822265625,0.0,Participant,"In a biomedical context, Insulin Resistance is related to various patients or groups through the PROCESS_OF relationship, which indicates a causal or mechanistic relationship. Here's a breakdown of the relationship:

**Insulin Resistance** is a condition where the body's"
Baseline,0.0,2024,172.841796875,0.0,Adult,"In a biomedical context, Cardiomyopathies are a group of diseases that affect the heart muscle (myocardium). The relationship between Cardiomyopathies and patients or groups can be described using the PROCESS_OF relationship, which indicates a process"
Baseline,0.0,2024,149.50494384765625,0.0,Cerebellum,"In a biomedical context, the relationship between Human Development and tissues or organs via PROCESS_OF is a complex and dynamic one. Here's a breakdown:

**Human Development** refers to the process by which a human being grows and matures from a fertilized egg"
Baseline,0.0,2024,614.5230712890625,0.0,hydrogen,"Nitrogen is a diatomic molecule (N2) that is a major component of the Earth's atmosphere. In a medical context, nitrogen is not typically considered a therapeutic agent, but rather a gas that can be used for various medical purposes, including"
Baseline,0.0,2024,220.52243041992188,0.05405405405405406,"Tumor cells, malignant","I don't have enough information to accurately determine the anatomical location of a ""Three-dimensional"" cell type. Could you provide more context or clarify what you mean by ""Three-dimensional"" in this context?"
Baseline,0.0,2024,117.23574829101562,0.0,Pulmonary Eosinophilia,"The CPA3 gene, also known as carboxypeptidase A3, is associated with several diseases and conditions, including:

1. **Carcinoma**: CPA3 has been implicated in the development and progression of various types of carcin"
Baseline,0.0,2024,207.11907958984375,0.0,1 Day,"In a biomedical context, Subjective Refraction and medical entities are related through the use of MEASURES (Measurement, Evaluation, Assessment, Research, and Utilization of Subjective Refraction) in the field of optometry and ophthalmology."
Baseline,0.0,2024,137.47955322265625,0.0,Child,"SARS-CoV-2 vaccination is not used to treat medical entities, but rather to prevent COVID-19, the disease caused by the SARS-CoV-2 virus. Vaccination is a preventive measure to help the body build immunity against the"
Baseline,0.0,2024,264.1560363769531,0.0,Child,"In a biomedical context, the relationship between Wound Healing and patients or groups can be described using the PROCESS_OF relationship, which indicates that Wound Healing is a process that occurs in or affects patients or groups.

In this context, Wound Healing is"
Baseline,0.0,2024,65.56612396240234,0.14285714285714288,HIV,Antiretroviral therapy (ART) is commonly used to treat the Human Immunodeficiency Virus (HIV).
Baseline,0.0,2024,206.8161163330078,0.04545454545454545,Patients,"In a biomedical context, the relationship between Acute hemorrhage and patients or groups via PROCESS_OF is that Acute hemorrhage is a process that affects patients or groups.

In this context, PROCESS_OF is a semantic relationship that indicates a process or activity"
Baseline,0.0,2024,257.8705749511719,0.0,Hospital acquired pneumonia,"Pathogenic organisms, which are microorganisms that cause disease, can cause a wide range of diseases and conditions in humans, animals, and plants. Here are some examples:

**Bacterial diseases:**

1. Tuberculosis (TB) - caused by"
Baseline,0.0,2024,184.99501037597656,0.0,Permeability,"Lipopolysaccharides (LPS), also known as endotoxins, are large molecules found in the outer membrane of Gram-negative bacteria. They are known to disrupt various cellular and physiological processes, leading to a range of pathophys"
Baseline,0.0,2024,216.11395263671875,0.0,Persons,"In a biomedical context, Advanced Prostate Carcinoma (APC) is a type of cancer that affects the prostate gland. The relationship between APC and patients or groups via PROCESS_OF is a complex one, as it involves the progression of the disease"
Baseline,0.0,2024,140.3476104736328,0.05405405405405406,Patients,"In a biomedical context, Ulcerative Colitis (UC) is a type of inflammatory bowel disease (IBD) that affects the large intestine (colon). The relationship between Ulcerative Colitis and patients or groups can be described using the PROCESS"
Baseline,0.0,2024,220.8429718017578,0.0,thromboplastin activity,"Antibodies, Anti-Idiotypic stimulate the production of anti-antibodies, also known as anti-idiotypic antibodies. These are antibodies that are directed against the unique antigenic determinants (idiotopes) of another"
Baseline,0.0,2024,171.50433349609375,0.0,Positron-Emission Tomography,"The anatomical location of the brain is within the skull, specifically within the cranial cavity."
Baseline,0.0,2015,203.65438842773438,0.0,Lanugo,"In a biomedical context, the relationship between glucose-regulated proteins and tissues or organs is often described using the PART_OF relationship.

PART_OF is a type of biological relationship that indicates that a part of an organism is a component of a larger whole. In"
Baseline,0.0,2015,363.30535888671875,0.0,Households,"In a biomedical context, the relationship between ""Entire head"" and ""patients or groups"" via ""PART_OF"" is a specific type of relationship used in ontologies and knowledge graphs to describe the composition of anatomical structures.

In this context,"
Baseline,0.0,2015,183.8684539794922,0.04347826086956522,HIV prevention,"In a biomedical context, the relationship between Prophylactic treatment and medical entities via METHOD_OF is a specific type of relationship that indicates the method or approach used to prevent or mitigate a medical condition or disease.

Prophylactic treatment refers to a medical intervention"
Baseline,0.0,2015,269.384033203125,0.0,Triclosan,"Plants are not chemicals, they are living organisms that belong to the kingdom Plantae. They are multicellular eukaryotic organisms that make their own food through photosynthesis.

Chemicals, on the other hand, are substances that are composed of atoms"
Baseline,0.0,2015,162.28067016601562,0.0,Child,"In the Systematized Nomenclature of Medicine (SNOMED CT), Attention Deficit Hyperactivity Disorder (ADHD) is a condition that can be related to various medical entities through the ""OCCURS_IN"" relationship.

The """
Baseline,0.0,2015,202.32696533203125,0.0,Vitiligo,"Therapeutic procedures, like any medical intervention, can have potential risks and side effects, and in some cases, they can cause or induce certain diseases or conditions. Here are some examples:

1. **Radiation therapy**:
	* Radiation-induced"
Baseline,0.0,2015,122.8546371459961,0.06060606060606061,cytokine,"In a biomedical context, Interferon-alpha (IFN-α) is a type of cytokine that plays a crucial role in the immune system, particularly in the defense against viral infections. ISA (Interferon-Stimulated Antiviral"
Baseline,0.0,2015,326.7496032714844,0.0,Transition Elements,"Phenylalanine is an essential amino acid that can interact with several medical entities, including:

1. **Levodopa**: Phenylalanine can decrease the effectiveness of levodopa, a medication used to treat Parkinson's disease, by"
Baseline,0.0,2015,388.9268493652344,0.0,Deacetylation,"MST1 (Microsomal Streptothricin Acetyltransferase 1) is an enzyme that is involved in the metabolism of certain antibiotics, including streptothricin. However, I couldn't find any information on MST1"
Baseline,0.0,2015,311.24267578125,0.0,Mothers,"In a biomedical context, a Papule is a type of skin lesion, typically a small, raised, and solid bump on the skin. The relationship between Papule and patients or groups via PROCESS_OF is not a standard or commonly used relationship in biomedical"
Baseline,0.0,2015,240.19866943359375,0.0,Chemicals,"In a biomedical context, the relationship between metals and medical entities via ISA (Information Sharing Architecture) is a complex one, and I'll try to break it down for you.

ISA is a framework for integrating and sharing data across different systems, applications,"
Baseline,0.0,2015,122.35127258300781,0.0,Genome,"Escherichia coli (E. coli) is a type of bacteria, not a protein. It's a gram-negative, rod-shaped bacterium that is commonly found in the lower intestine of warm-blooded organisms (endotherms).

So,"
Baseline,0.0,2015,269.2961730957031,0.0,Angiogenesis,"Chemokines primarily affect the immune system, particularly the following medical entities:

1. **Immune cells**: Chemokines are a family of small cytokines that are involved in the recruitment and activation of various immune cells, including:
	* Ne"
Baseline,0.0,2015,99.64643859863281,0.0,Enoxaparin,"In a biomedical context, Oral anticoagulants are a class of medications that prevent blood clotting. The relationship between Oral anticoagulants and other medical entities via COMPARED_WITH is as follows:

**COMPARED_WITH:**

*"
Baseline,0.0,2015,288.95452880859375,0.0,Antibiotic Resistance,"Biological adaptation to stress primarily affects the body's endocrine, nervous, and immune systems. Here are some of the key medical entities that are affected by stress:

1. **Hypothalamic-Pituitary-Adrenal (HP"
Baseline,0.0,2015,174.52073669433594,0.04347826086956522,Chagas Disease,"Therapeutic vaccines are vaccines that are designed to treat or prevent diseases, rather than just prevent them. They are often used to treat chronic or autoimmune diseases, as well as certain types of cancer. Here are some examples of diseases or conditions that therapeutic"
Baseline,0.0,2015,152.42283630371094,0.0,Experimental Autoimmune Encephalomyelitis,"Icariin is a flavonoid compound found in the plant Epimedium sagittatum, also known as horny goat weed. It has been traditionally used in Chinese medicine for various purposes, including enhancing male fertility, improving erectile function, and"
Baseline,0.0,2015,118.65038299560547,0.0,"Receptors, Purinergic P1","The anatomical location of the endothelium is the innermost layer of cells lining the blood vessels, including:

* Arteries
* Veins
* Capillaries
* Lymphatic vessels

The endothelium is a single"
Baseline,0.0,2015,115.93905639648438,0.0,Patients,"Hydrocortisone is a corticosteroid medication that is commonly used to treat a variety of medical conditions. Here are some of the most common medical entities that hydrocortisone is used to treat:

1. **Allergic"
Baseline,0.0,2015,187.90843200683594,0.06060606060606061,DNA Damage,"APOBEC3B is a member of the APOBEC family of cytidine deaminases, which are enzymes that can introduce mutations into DNA by deaminating cytidine to uracil. This can lead to the formation"
Baseline,0.0,2015,133.8660430908203,0.0,Chloroquine,"In a biomedical context, an assay is a laboratory procedure used to measure the concentration or amount of a specific substance, such as a biomolecule, in a sample. MEASURES (Measurement of Assay Sensitivity and Variability in Experimental Research Using"
Baseline,0.0,2015,193.35995483398438,0.0,Apoptosis,"Paraquat is a highly toxic herbicide that primarily affects the mitochondria of cells, particularly in the lungs, liver, and kidneys. It is a redox-cycling herbicide, which means that it can generate reactive oxygen species (ROS) that"
Baseline,0.0,2015,124.11759185791016,0.0,Mucormycosis,"Therapeutic procedures are commonly used to treat a wide range of diseases and conditions, including:

1. **Musculoskeletal disorders**:
	* Osteoarthritis: joint injections, platelet-rich plasma (PRP) therapy, and"
