subject_cui,subject_name,subject_semtype,predicate,object_cui,object_name,object_semtype,first_year,first_pmid,citation_pmid,first_issn,first_sentence_id,Questions,Similarity,Correct_Flag,Target_Object,predicted_year,generated_text
C4763675,Single Agent Therapy,topp,TREATS,C1516213,Cancer Patient,podg,2021,33402510,33402510,,361957280,Which medical entities is Single Agent Therapy commonly used to treat?,0.3782797753810882,0.0,Cancer Patient,0,"[1960s] Single Agent Therapy is commonly used to treat certain types of leukemia, such as Chronic Myeloid Leukemia (CML) and Acute Lymphoblastic Leukemia (ALL). 

The scientific mechanism behind Single Agent Therapy in leukemia involves targeting specific molecular pathways that are responsible for the proliferation and survival of cancer cells. In the case of CML, Single Agent Therapy often involves the use of tyrosine kinase inhibitors (TKIs), such as imatinib"
C0040648,TRANSCRIPTION FACTOR,bacs,PART_OF,C1413194|10576,CCT2 gene|CCT2,aapp,2024,38166853,38166853,,411915043,"In a biomedical context, what is the relationship between TRANSCRIPTION FACTOR and proteins via PART_OF?",0.2137806266546249,0.0,CCT2 gene|CCT2,0,"[1990s] 

In the context of biomedical ontologies, particularly the Gene Ontology (GO), the relationship between a TRANSCRIPTION FACTOR and a protein via PART_OF is related to the concept of transcription factor binding sites.

A transcription factor is a protein that regulates gene expression by binding to specific DNA sequences near a gene's promoter or enhancer regions. When a transcription factor binds to its target DNA sequence, it can either activate or repress the transcription of the associated gene.

The PART"
C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",dsyn,PROCESS_OF,C0679646,Participant,humn,2015,26287285,26287285,,933600,"In a biomedical context, what is the relationship between Diabetes Mellitus, Non-Insulin-Dependent and patients or groups via PROCESS_OF?",0.067037858068943,0.0,Participant,0,"[1936] 

In the context of Diabetes Mellitus, Non-Insulin-Dependent (Type 2 Diabetes), the relationship between the disease and patients or groups can be described as a process of insulin resistance and impaired insulin secretion. This process is mediated by various factors, including genetic predisposition, obesity, physical inactivity, and an unhealthy diet.

The PROCESS_OF relationship can be broken down into several key steps:

1. **Insulin Resistance**: The body's cells become less responsive"
C0919487|4914,NTRK1 gene|NTRK1,gngm,STIMULATES,C0164786|207,Proto-Oncogene Proteins c-akt|AKT1,gngm,2015,26446845,26446845,,2538092,Which genes does NTRK1 gene|NTRK1 stimulate?,0.1778534501791,0.0,Proto-Oncogene Proteins c-akt|AKT1,0,"[1986] 
The NTRK1 gene encodes for the TrkA receptor, which is a tyrosine kinase receptor. When NTRK1 is stimulated, it can activate various downstream signaling pathways, including the MAPK/ERK pathway and the PI3K/AKT pathway. 

These pathways can lead to the activation of several genes involved in cell proliferation, differentiation, and survival. Some of the genes that are stimulated by NTRK1 include:

- BDN"
C0021665,Insulin-Like Growth Factor I,aapp,PREDISPOSES,C0494463,"Alzheimer Disease, Late Onset",mobd,2012,23089282,23089282,,23318792,"In a biomedical context, what is the relationship between Insulin-Like Growth Factor I and diseases or conditions via PREDISPOSES?",0.1400929689407348,0.0,"Alzheimer Disease, Late Onset",0,"[1996] Insulin-Like Growth Factor I (IGF-I) has been linked to various diseases and conditions through its role in cell proliferation, differentiation, and survival. IGF-I can predispose individuals to certain conditions by promoting the growth and development of cells, which can lead to uncontrolled cell growth and tumor formation in the case of cancer. 

In the context of PREDISPOSES, IGF-I has been associated with an increased risk of developing conditions such as:

1"
C0521119,Extracellular,celc,LOCATION_OF,C0017436,Gentamicins,carb,2011,21906667,21906667,,231796353,Which medical entities is the anatomical location of Extracellular?,0.0637151151895523,0.0,Gentamicins,0,"[1960s] The term ""extracellular"" refers to the space outside of cells in living organisms. The anatomical location of extracellular space is found in various tissues and organs throughout the body, including:

1. Interstitial space: This is the space between cells and the surrounding connective tissue, found in organs such as the liver, kidney, and muscle.
2. Blood vessels: The space between the endothelial cells lining blood vessels and the surrounding connective tissue.
3. L"
C1377705,Preservative free ingredient,phsu,TREATS,C0014175,"Endometriosis, site unspecified",dsyn,2018,28954602,28954602,,249486999,Which diseases or conditions is Preservative free ingredient commonly used to treat?,-0.0296519696712493,0.0,"Endometriosis, site unspecified",0,"[1960s] The preservative-free ingredient commonly used to treat various diseases and conditions is Sterile Water for Injection or Saline Solution. However, a more specific answer would be the use of preservative-free ingredients in the treatment of conditions such as:

1.  Allergic reactions: Preservative-free epinephrine is used to treat anaphylaxis.
2.  Ophthalmic conditions: Preservative-free eye drops are used to treat conditions such as dry eye syndrome, conj"
79001,VKORC1,gngm,NEG_INTERACTS_WITH,C1332829|1559,CYP2C9 gene|CYP2C9,gngm,2017,27743182,27743182,,12080515,"In a biomedical context, what is the relationship between VKORC1 and genes via NEG_INTERACTS_WITH?",0.041895356029272,0.0,CYP2C9 gene|CYP2C9,0,"

VKORC1 (Vitamin K Epoxide Reductase Complex Subunit 1) is a gene that plays a crucial role in the vitamin K-dependent blood coagulation pathway. The NEG_INTERACTS_WITH relationship between VKORC1 and other genes typically refers to its interaction with the CYP2C9 gene.

The CYP2C9 gene encodes for an enzyme that is responsible for the metabolism of warfarin, a commonly used antico"
C1415193|2817,GPC1 gene|GPC1,gngm,ASSOCIATED_WITH,C1326912,Tumorigenesis,neop,2015,25046223,25046223,,19567552,Which diseases or conditions is GPC1 gene|GPC1 most strongly associated with?,0.2565184235572815,0.0,Tumorigenesis,0,"[1996] The GPC1 gene, also known as glypican-1, is most strongly associated with various conditions, including cancer, particularly hepatocellular carcinoma (HCC), and certain types of leukemia. 

The GPC1 gene encodes a heparan sulfate proteoglycan that is involved in cell signaling, cell growth, and cell migration. It plays a crucial role in the regulation of cell proliferation, differentiation, and survival. Abnormal expression of GPC1"
C1184145,Occipital,blor,LOCATION_OF,C0016658,Fracture,inpo,2010,19936662,19936662,,19474170,Which medical entities is the anatomical location of Occipital?,0.1836355924606323,0.0,Fracture,0,"[1899] The anatomical location of the occipital region is associated with the occipital lobe, which is a part of the brain. 

The occipital lobe is located at the back of the brain, and it is primarily responsible for processing visual information. It is situated near the occipital bone, which is a part of the skull that forms the back and base of the cranium. 

The occipital lobe is divided into several sub-regions"
C0021753,Interleukin-1 beta,aapp,ASSOCIATED_WITH,C0041327,"Tuberculosis, Pulmonary",dsyn,2017,27661435,27661435,,6989612,Which diseases or conditions is Interleukin-1 beta most strongly associated with?,0.1692499667406082,0.0,"Tuberculosis, Pulmonary",0,"[1984] Interleukin-1 beta (IL-1β) is a pro-inflammatory cytokine that plays a crucial role in the body's immune response. It is most strongly associated with various inflammatory and autoimmune diseases, including:

1. Rheumatoid Arthritis (RA): IL-1β is involved in the pathogenesis of RA by promoting joint inflammation and cartilage destruction.
2. Gout: IL-1β is a key mediator of gouty inflammation, contributing"
C0006104,Brain,bpoc,NEG_LOCATION_OF,C0677043,Histopathology,patf,2010,20005854,20005854,,23294974,"In a biomedical context, what is the relationship between Brain and pathologic functions via NEG_LOCATION_OF?",0.2064639180898666,0.0,Histopathology,0,"I couldn't find any information on ""NEG_LOCATION_OF"" in a biomedical context. It's possible that this term is not a standard scientific concept or it might be a misspelling or abbreviation.

However, I can provide information on the relationship between brain and pathologic functions in a general sense.

[1990s] The concept of ""neglect"" or ""neglect syndrome"" in neuroscience refers to a condition where a person has difficulty perceiving or responding to stimuli on one side of their"
C1510438,Assay,lbpr,MEASURES,C0028128,nitric oxide,inch,2024,38167957,38167957,,411924248,"In a biomedical context, what is the relationship between Assay and medical entities via MEASURES?",0.0998016893863678,0.0,nitric oxide,0,"[1999]

The relationship between Assay and medical entities via MEASURES is based on the concept of measurement theory, which was introduced by the International Organization for Standardization (ISO) in 1999. MEASURES is a framework that describes the relationship between a measurement (Assay) and the medical entities being measured.

In MEASURES, a measurement is defined as a function that maps a set of input values (e.g., laboratory results) to a set of output values ("
C0013404,Dyspnea,sosy,ISA,C1457887,Symptoms,sosy,2019,30621812,30621812,,332881435,"In a biomedical context, what is the relationship between Dyspnea and medical entities via ISA?",0.2036888003349304,0.0,Symptoms,2015,"

In the context of biomedical research, Dyspnea is a symptom characterized by shortness of breath or difficulty breathing. The ISA (International Statistical Classification of Diseases and Related Health Problems, 10th Revision) codes provide a standardized framework for classifying medical conditions.

Research has identified various medical entities associated with Dyspnea, including:

1. **Chronic Obstructive Pulmonary Disease (COPD)**: ISA code J40-J44. COPD is a progressive"
C0678889,Immunoregulation,orgf,PROCESS_OF,C0026809,Mus,mamm,2015,26508976,26508976,,19768572,"In a biomedical context, what is the relationship between Immunoregulation and species via PROCESS_OF?",0.1122770011425018,0.0,Mus,0,"[1970s] 

The relationship between Immunoregulation and species via PROCESS_OF is that Immunoregulation is a biological process that occurs within an organism, specifically in the immune system, to regulate and maintain immune homeostasis. This process involves the interaction of various immune cells, such as T cells and B cells, as well as the production of cytokines and other signaling molecules.

In the context of species, Immunoregulation is a conserved process that has evolved across different"
C0015403,Eye Infection,dsyn,AFFECTS,C0232478,Ingestion,biof,2023,36544752,36544752,,394553969,Which biologic functions does Eye Infection primarily affect?,0.16691255569458,0.0,Ingestion,0,"[1960s] The primary biologic functions affected by eye infections include:

1. **Immune Response**: Eye infections trigger an immune response, which involves the activation of various immune cells, such as neutrophils and macrophages, to fight off the invading pathogens.

2. **Inflammation**: Eye infections cause inflammation, which is a complex biological response of body tissues to harmful stimuli, such as pathogens, damaged cells, or irritants. Inflammation leads to increased blood flow"
C0016030,Fibroblasts,cell,NEG_PRODUCES,C0214226,HA-2 antigen,aapp,2018,29567312,29567312,,249183788,"In a biomedical context, what is the relationship between Fibroblasts and proteins via NEG_PRODUCES?",0.1582584232091903,0.0,HA-2 antigen,0,"[1990s] 

In the context of fibroblast biology, NEG_PRODUCES is a relationship type that describes the production of proteins by fibroblasts. Fibroblasts are a type of cell found in connective tissue that play a crucial role in the production of the extracellular matrix, which provides structural and biochemical support to surrounding cells.

Fibroblasts produce a wide range of proteins, including collagen, elastin, and fibronectin, through the process"
C0199176,Prophylactic treatment,topp,PREDISPOSES,C0940933,"Complication, infection",dsyn,2018,29506345,29506345,,249417554,"In a biomedical context, what is the relationship between Prophylactic treatment and diseases or conditions via PREDISPOSES?",0.1597375124692917,0.0,"Complication, infection",0,"[1990s] 

The concept of PREDISPOSES was first introduced in the 1990s as a framework to understand the relationship between prophylactic treatment and diseases or conditions. PREDISPOSES is an acronym that stands for:

1. **P**redisposing factors (e.g., genetic predisposition, environmental factors)
2. **R**isk factors (e.g., lifestyle choices, medical history)
3. **E**xposure (e.g., to pathogens"
C1454315|8862,"APLN protein, human|APLN",aapp,STIMULATES,C0669365|4846,"NOS3 protein, human|NOS3",aapp,2024,38177539,38177539,,411977540,"Which proteins does APLN protein, human|APLN stimulate?",0.1530121266841888,0.0,"NOS3 protein, human|NOS3",0,"[1997] 
The APLN (Adipocyte-Proliferation-Associated Protein) protein, also known as apelin, stimulates the APJ (Apelin Receptor) protein. The APJ receptor is a G protein-coupled receptor that plays a crucial role in various physiological processes, including cardiovascular function, energy homeostasis, and inflammation"
C0332768,Joint Subluxations,inpo,PROCESS_OF,C0599755,Cohort,humn,2022,34980895,34980895,,378129647,"In a biomedical context, what is the relationship between Joint Subluxations and patients or groups via PROCESS_OF?",0.2726101577281952,0.0,Cohort,0,"[1992] 

The relationship between Joint Subluxations and patients or groups via PROCESS_OF is related to the concept of joint instability. Joint subluxations occur when a joint partially dislocates, leading to instability and potential damage to surrounding tissues. In a biomedical context, this process can be described as a mechanical process where the joint's normal anatomical alignment is disrupted, resulting in abnormal movement patterns and potentially leading to further complications.

The PROCESS_OF relationship in this context can be understood as follows"
C0033640,PROTEIN KINASE,aapp,AFFECTS,C0032005,Pituitary Gland,bpoc,2020,31586652,31586652,,342425367,Which tissues or organs does PROTEIN KINASE primarily affect?,0.2644840180873871,0.0,Pituitary Gland,0,"[1950s] 
Protein kinase primarily affects various tissues and organs, particularly those involved in cellular signaling pathways. 

Protein kinases are enzymes that transfer phosphate groups from high-energy, phosphate-donating molecules to specific substrates, which are proteins. This process, known as phosphorylation, can activate or inhibit the activity of the target protein, thereby influencing various cellular processes.

Some of the primary tissues and organs affected by protein kinases include:

1. **Muscle tissue**: Protein"
C0013798,Electrocardiogram,diap,DIAGNOSES,C0149721,Left Ventricular Hypertrophy,dsyn,2022,34986917,34986917,,378196230,Which diseases or conditions is Electrocardiogram used to diagnose?,0.6444545984268188,0.0,Left Ventricular Hypertrophy,0,"[1924] An Electrocardiogram (ECG or EKG) is a non-invasive test used to diagnose various heart-related conditions and diseases. The ECG measures the electrical activity of the heart, allowing doctors to assess its function and identify potential problems.

The ECG works by detecting the electrical impulses that control the heartbeat. These impulses are generated by the heart's natural pacemaker, the sinoatrial (SA) node, and travel through the heart's electrical conduction system"
C1029081,Acanthopagrus schlegelii,fish,ISA,C0003062,Animals,anim,2010,19917286,19917286,,26934833,"In a biomedical context, what is the relationship between Acanthopagrus schlegelii and medical entities via ISA?",0.0178562849760055,0.0,Animals,2018,"

Acanthopagrus schlegelii, also known as the flathead mullet, is a species of fish. In a biomedical context, the relationship between Acanthopagrus schlegelii and medical entities via ISA (Inter Species Association) is related to its potential therapeutic applications.

Research has shown that Acanthopagrus schlegelii contains various bioactive compounds, such as peptides and proteins, which have been associated with anti-inflammatory"
C0006657,Calcifediol,strd,ASSOCIATED_WITH,C0699748,Pathogenesis,patf,2011,27683380,27683380,,15493043,Which pathologic functions is Calcifediol most strongly associated with?,0.2366591244935989,0.0,Pathogenesis,0,"[1970s] Calcifediol, also known as 25-hydroxyvitamin D3, is a major circulating metabolite of vitamin D. It is most strongly associated with the regulation of calcium homeostasis and bone mineralization. 

Calcifediol plays a crucial role in the activation of vitamin D, which is essential for the absorption of calcium from the intestine. It also regulates the expression of genes involved in calcium and phosphate metabolism, thereby influencing bone health and density"
C0025552,Metals,inch,HIGHER_THAN,C1288290,Shale,inch,2013,23208758,23208758,,18877019,"In a biomedical context, what is the relationship between Metals and medical entities via HIGHER_THAN?",0.1868490129709243,0.0,Shale,2010,"

In a biomedical context, the relationship between metals and medical entities via HIGHER_THAN refers to the concept of metal-induced cytotoxicity, where certain metals can induce higher levels of toxicity in medical entities, such as cells or tissues, compared to other metals.

The scientific mechanism behind this relationship involves the ability of metals to interact with biological molecules, such as proteins, DNA, and lipids, leading to the disruption of normal cellular function and ultimately, cell death. The toxicity"
